"Player","Season","Season Age","Gen. Role","Role","DAVIES","Box Activity","Shooting","Final Ball","Dribbles and Carries","Buildup Passing","Defense","Min","Team","League","Nation","League Gender"
"Kylian Mbappé","2019-2020",20,"Finisher","Mobile Forward",0.5,0.08,0.25,0.12,0.06,0,-0.01,1513,"Paris S-G","Ligue 1","FRA","M"
"Lionel Messi","2017-2018",30,"Creator","Central Creator",0.49,0.07,0.27,0.06,0.05,0.05,-0.02,3000,"Barcelona","La Liga","ARG","M"
"Neymar","2019-2020",27,"Creator","Central Creator",0.47,0.06,0.23,0.05,0.06,0.07,-0.01,1318,"Paris S-G","Ligue 1","BRA","M"
"Lionel Messi","2018-2019",31,"Creator","Central Creator",0.45,0.04,0.24,0.08,0.04,0.06,-0.02,2713,"Barcelona","La Liga","ARG","M"
"Neymar","2017-2018",25,"Creator","Central Creator",0.43,0.06,0.19,0.08,0.08,0.04,-0.01,1786,"Paris S-G","Ligue 1","BRA","M"
"Lionel Messi","2020-2021",33,"Creator","Central Creator",0.4,0.05,0.21,0.05,0.05,0.06,-0.02,3023,"Barcelona","La Liga","ARG","M"
"Lionel Messi","2019-2020",32,"Creator","Central Creator",0.4,0.05,0.17,0.07,0.06,0.06,-0.02,2880,"Barcelona","La Liga","ARG","M"
"Kylian Mbappé","2018-2019",19,"Finisher","Mobile Forward",0.38,0.04,0.28,0.03,0.03,0.01,-0.01,2343,"Paris S-G","Ligue 1","FRA","M"
"Cristiano Ronaldo","2017-2018",32,"Finisher","Mobile Forward",0.36,0.06,0.24,0.02,0.04,0.01,-0.01,2285,"Real Madrid","La Liga","POR","M"
"Neymar","2020-2021",28,"Creator","Central Creator",0.36,0.06,0.15,0.05,0.05,0.05,0,1415,"Paris S-G","Ligue 1","BRA","M"
"Neymar","2018-2019",26,"Creator","Central Creator",0.34,0.06,0.11,0.07,0.05,0.07,-0.01,1439,"Paris S-G","Ligue 1","BRA","M"
"Edinson Cavani","2019-2020",32,"Finisher","Progressive Forward",0.33,0.04,0.27,0.02,0.01,0.01,-0.01,605,"Paris S-G","Ligue 1","URU","M"
"Lionel Messi","2021-2022",34,"Creator","Central Creator",0.32,0.02,0.12,0.04,0.03,0.11,-0.02,2153,"Paris S-G","Ligue 1","ARG","M"
"Kylian Mbappé","2021-2022",22,"Dribbler","Direct Dribbler",0.31,0.07,0.19,0.03,0.03,0,-0.01,3023,"Paris S-G","Ligue 1","FRA","M"
"Gastón Pereiro","2020-2021",25,"Creator","Central Creator",0.31,0.04,0.22,0.06,0.01,0,-0.01,272,"Cagliari","Serie A M","URU","M"
"Alan Virginius","2022-2023",19,"Finisher","Mobile Forward",0.3,0.04,0.28,0,0,0.02,0.01,258,"Lille","Ligue 1","FRA","M"
"Robert Lewandowski","2019-2020",30,"Finisher","Mobile Forward",0.29,0.05,0.19,0.03,0.01,0,-0.01,2759,"Bayern Munich","Bundesliga","POL","M"
"Luis Muriel","2020-2021",29,"Dribbler","Direct Dribbler",0.29,0.04,0.23,0.02,0,-0.01,0,1436,"Atalanta","Serie A M","COL","M"
"Cristhian Stuani","2023-2024",36,"Finisher","Target Forward",0.29,0.01,0.25,0.01,0,0,0.02,804,"Girona","La Liga","URU","M"
"Memphis","2022-2023",28,"Finisher","Progressive Forward",0.29,0.06,0.22,0.03,-0.01,0.01,-0.02,270,"Atlético Madrid","La Liga","NED","M"
"Lionel Messi","2022-2023",35,"Creator","Central Creator",0.28,0.03,0.13,0.07,0.01,0.05,-0.01,2837,"Paris S-G","Ligue 1","ARG","M"
"Serge Gnabry","2019-2020",24,"Dribbler","Direct Dribbler",0.28,0.06,0.13,0.08,0.02,0,-0.01,2193,"Bayern Munich","Bundesliga","GER","M"
"Kostas Mitroglou","2017-2018",29,"Finisher","Target Forward",0.28,0.04,0.25,0,0,0.01,-0.01,876,"Marseille","Ligue 1","GRE","M"
"Armand Lauriente","2022-2023",23,"Dribbler","Direct Dribbler",0.28,0.03,0.17,0.03,0.05,0.02,0.02,266,"Lorient","Ligue 1","FRA","M"
"Robert Lewandowski","2021-2022",32,"Finisher","Progressive Forward",0.27,0.04,0.22,0.01,0,0.01,-0.01,2946,"Bayern Munich","Bundesliga","POL","M"
"Kylian Mbappé","2020-2021",21,"Finisher","Mobile Forward",0.27,0.07,0.14,0.03,0.05,-0.01,-0.01,2380,"Paris S-G","Ligue 1","FRA","M"
"Philippe Coutinho","2019-2020",27,"Creator","Central Creator",0.27,0.03,0.15,0.02,0.02,0.06,-0.01,1411,"Bayern Munich","Bundesliga","BRA","M"
"Robert Lewandowski","2020-2021",31,"Finisher","Mobile Forward",0.26,0.03,0.21,0.01,0,0.01,0,2458,"Bayern Munich","Bundesliga","POL","M"
"Robert Lewandowski","2017-2018",28,"Finisher","Mobile Forward",0.26,0.04,0.22,0,0,0.01,-0.01,2172,"Bayern Munich","Bundesliga","POL","M"
"Toni Kroos","2022-2023",32,"Deep Midfielder","Playmaking Deep Midfielder",0.26,0,0.02,0.03,0.01,0.21,-0.01,2155,"Real Madrid","La Liga","GER","M"
"Josip Iličić","2019-2020",31,"Dribbler","Direct Dribbler",0.26,0.04,0.13,0.04,0.02,0.03,0,1663,"Atalanta","Serie A M","SVN","M"
"Philippe Coutinho","2017-2018",25,"Creator","Central Creator",0.26,0,0.09,0.05,0.04,0.09,0,1109,"Liverpool","Premier League","BRA","M"
"Kylian Mbappé","2022-2023",23,"Dribbler","Direct Dribbler",0.25,0.07,0.21,0.03,0.01,0,-0.02,2818,"Paris S-G","Ligue 1","FRA","M"
"Harry Kane","2023-2024",30,"Finisher","Progressive Forward",0.25,0.01,0.19,0.02,0,0.03,-0.01,2839,"Bayern Munich","Bundesliga","ENG","M"
"Mohamed Salah","2017-2018",25,"Finisher","Mobile Forward",0.25,0.04,0.16,0.03,0.02,0.02,-0.01,2907,"Liverpool","Premier League","EGY","M"
"Karim Benzema","2021-2022",33,"Finisher","Progressive Forward",0.25,0.05,0.11,0.05,0.02,0.03,-0.01,2593,"Real Madrid","La Liga","FRA","M"
"Kylian Mbappé","2023-2024",24,"Finisher","Progressive Forward",0.25,0.05,0.13,0.03,0.03,0.02,-0.01,2158,"Paris S-G","Ligue 1","FRA","M"
"Paul Pogba","2017-2018",24,"Midfielder","Creative Midfielder",0.25,0.02,0.11,0.03,0.04,0.06,-0.01,2148,"Manchester Utd","Premier League","FRA","M"
"Isco","2017-2018",25,"Creator","Central Creator",0.25,0.04,0.07,0.04,0.04,0.06,-0.01,1774,"Real Madrid","La Liga","ESP","M"
"Zlatan Ibrahimović","2020-2021",38,"Finisher","Progressive Forward",0.25,0.05,0.16,0.01,0.01,0.01,0.01,1493,"Milan","Serie A M","SWE","M"
"Gabriel Jesus","2018-2019",21,"Finisher","Mobile Forward",0.25,0.05,0.2,0,0.01,0,-0.01,1036,"Manchester City","Premier League","BRA","M"
"Phil Foden","2018-2019",18,"Dribbler","Direct Dribbler",0.25,0.04,0.17,0.01,0.01,0,0,335,"Manchester City","Premier League","ENG","M"
"Luis Javier Suárez","2022-2023",24,"Finisher","Progressive Forward",0.25,0.02,0.17,0,0.02,0.03,0.01,293,"Marseille","Ligue 1","COL","M"
"David Brooks","2023-2024",26,"Creator","Wide Creator",0.25,0,0.2,0,0.01,0.04,0.01,282,"Bournemouth","Premier League","WAL","M"
"Robert Lewandowski","2018-2019",29,"Finisher","Mobile Forward",0.24,0.04,0.17,0.03,0.02,0.01,-0.01,2957,"Bayern Munich","Bundesliga","POL","M"
"Mohamed Salah","2021-2022",29,"Dribbler","Direct Dribbler",0.24,0.08,0.16,0.03,0,0,-0.01,2762,"Liverpool","Premier League","EGY","M"
"Jude Bellingham","2022-2023",19,"Midfielder","Mobile Midfielder",0.24,0.04,0.09,0.01,0.03,0.07,0,2691,"Dortmund","Bundesliga","ENG","M"
"Karim Benzema","2022-2023",34,"Finisher","Progressive Forward",0.24,0.04,0.13,0.04,0.02,0.03,-0.01,2038,"Real Madrid","La Liga","FRA","M"
"James Rodríguez","2018-2019",27,"Creator","Central Creator",0.24,0.02,0.1,0.06,0,0.06,-0.02,1138,"Bayern Munich","Bundesliga","COL","M"
"Enes Ünal","2023-2024",26,"Finisher","Progressive Forward",0.24,0.03,0.19,0,-0.02,0.03,0.02,328,"Bournemouth","Premier League","TUR","M"
"Ángel Di María","2017-2018",29,"Dribbler","Wide Dribbler",0.23,0.04,0.14,0.04,0.01,0,-0.01,2111,"Paris S-G","Ligue 1","ARG","M"
"Ángel Di María","2019-2020",31,"Creator","Wide Creator",0.23,0.04,0.07,0.09,0.02,0.01,-0.01,2000,"Paris S-G","Ligue 1","ARG","M"
"Duván Zapata","2021-2022",30,"Finisher","Mobile Forward",0.23,0.07,0.13,0.03,0.01,-0.01,-0.01,1722,"Atalanta","Serie A M","COL","M"
"Philippe Coutinho","2020-2021",28,"Creator","Two Way Creator",0.23,0.04,0.17,0,0.03,0.01,0,654,"Barcelona","La Liga","BRA","M"
"Kevin Stöger","2021-2022",27,"Creator","Central Creator",0.23,0.02,0.06,0.07,0.01,0.08,0,419,"Mainz 05","Bundesliga","AUT","M"
"Pablo Hernández","2020-2021",35,"Creator","Central Creator",0.23,0.01,0.04,0,0.06,0.12,-0.01,427,"Leeds United","Premier League","ESP","M"
"Olivier Giroud","2017-2018",30,"Finisher","Target Forward",0.23,0.05,0.16,0.03,0,-0.02,0.01,388,"Arsenal","Premier League","FRA","M"
"Fernando Llorente","2019-2020",34,"Finisher","Target Forward",0.23,0.07,0.2,0.01,-0.01,-0.01,-0.01,501,"Napoli","Serie A M","ESP","M"
"Robert Lewandowski","2022-2023",33,"Finisher","Progressive Forward",0.22,0.03,0.16,0.03,0,0.01,-0.01,2847,"Barcelona","La Liga","POL","M"
"Florian Thauvin","2017-2018",24,"Creator","Wide Creator",0.22,0.05,0.13,0.04,0.03,-0.01,-0.01,2950,"Marseille","Ligue 1","FRA","M"
"Antoine Griezmann","2022-2023",31,"Creator","Wide Creator",0.22,0.03,0.12,0.05,0.01,0,0,2859,"Atlético Madrid","La Liga","FRA","M"
"Victor Osimhen","2022-2023",23,"Finisher","Mobile Forward",0.22,0.05,0.15,0,0,0,0,2566,"Napoli","Serie A M","NGA","M"
"Deniz Undav","2023-2024",27,"Finisher","Progressive Forward",0.22,0.02,0.13,0.03,0.01,0.03,-0.01,2089,"Stuttgart","Bundesliga","GER","M"
"Vinicius Júnior","2023-2024",23,"Dribbler","Direct Dribbler",0.22,0.07,0.15,0.02,0.02,0,-0.01,1864,"Real Madrid","La Liga","BRA","M"
"Sergio Agüero","2017-2018",29,"Finisher","Mobile Forward",0.22,0.03,0.12,0.03,0.04,0.01,-0.01,1963,"Manchester City","Premier League","ARG","M"
"Kylian Mbappé","2017-2018",18,"Finisher","Mobile Forward",0.22,0.05,0.08,0.05,0,0.01,0,2094,"Paris S-G","Ligue 1","FRA","M"
"James Rodríguez","2017-2018",26,"Midfielder","Creative Midfielder",0.22,0.02,0.08,0.07,0,0.1,-0.02,1621,"Bayern Munich","Bundesliga","COL","M"
"Houssem Aouar","2020-2021",22,"Creator","Central Creator",0.22,0.05,0.12,0.01,0.01,0.02,-0.01,1781,"Lyon","Ligue 1","FRA","M"
"Federico Dimarco","2021-2022",23,"Wide Def","Progressive Wide Defender",0.22,0.02,0.09,0.06,0.01,0.06,-0.01,1430,"Inter","Serie A M","ITA","M"
"Vinicius Júnior","2018-2019",18,"Finisher","Mobile Forward",0.22,0.06,0.13,0.01,0.05,-0.02,-0.01,869,"Real Madrid","La Liga","BRA","M"
"Javier Pastore","2018-2019",29,"Creator","Central Creator",0.22,0.03,0.09,0,0.04,0.05,-0.01,597,"Roma","Serie A M","ARG","M"
"Isco","2021-2022",29,"Midfielder","Creative Midfielder",0.22,0.05,0.07,0.03,0.05,0.03,0,331,"Real Madrid","La Liga","ESP","M"
"Salih Uçan","2018-2019",24,"Creator","Two Way Creator",0.22,0.05,0.13,0.02,0,-0.02,0.01,259,"Empoli","Serie A M","TUR","M"
"Alberto Cerri","2020-2021",24,"Finisher","Target Forward",0.22,0.08,0.14,0.03,-0.01,-0.03,0.01,369,"Cagliari","Serie A M","ITA","M"
"Luis Suárez","2017-2018",30,"Finisher","Progressive Forward",0.21,0.05,0.14,0.04,0,-0.01,0,2899,"Barcelona","La Liga","URU","M"
"Harry Kane","2017-2018",24,"Finisher","Mobile Forward",0.21,0.02,0.16,0,0.01,0.03,0,3076,"Tottenham","Premier League","ENG","M"
"Cristiano Ronaldo","2020-2021",35,"Dribbler","Direct Dribbler",0.21,0.02,0.18,-0.01,0.02,0.01,-0.01,2802,"Juventus","Serie A M","POR","M"
"Christopher Nkunku","2021-2022",23,"Dribbler","Direct Dribbler",0.21,0.04,0.11,0.05,0.01,0.01,-0.01,2723,"RB Leipzig","Bundesliga","FRA","M"
"Raheem Sterling","2017-2018",22,"Finisher","Mobile Forward",0.21,0.06,0.1,0.03,0.02,0.01,-0.01,2587,"Manchester City","Premier League","ENG","M"
"Karim Benzema","2020-2021",32,"Finisher","Progressive Forward",0.21,0.04,0.12,0.03,0.03,0.01,0,2894,"Real Madrid","La Liga","FRA","M"
"Andrej Kramarić","2018-2019",27,"Dribbler","Direct Dribbler",0.21,0.03,0.14,0.02,0.01,0.02,-0.01,2396,"Hoffenheim","Bundesliga","CRO","M"
"Rodri","2023-2024",27,"Deep Midfielder","Playmaking Deep Midfielder",0.21,0.02,0.05,0.02,0.02,0.11,-0.01,2931,"Manchester City","Premier League","ESP","M"
"Eden Hazard","2017-2018",26,"Dribbler","Direct Dribbler",0.21,0.04,0.04,0.03,0.07,0.05,-0.03,2422,"Chelsea","Premier League","BEL","M"
"Raphaël Guerreiro","2020-2021",26,"Wide Def","Progressive Wide Defender",0.21,0.03,0.05,0.05,0.02,0.08,-0.02,2218,"Dortmund","Bundesliga","POR","M"
"Darwin Núñez","2023-2024",24,"Finisher","Mobile Forward",0.21,0.04,0.13,0.03,0.01,0,-0.01,2047,"Liverpool","Premier League","URU","M"
"Toni Kroos","2023-2024",33,"Deep Midfielder","Playmaking Deep Midfielder",0.21,0,0.02,0.04,0,0.19,-0.01,2124,"Real Madrid","La Liga","GER","M"
"Kevin De Bruyne","2020-2021",29,"Creator","Wide Creator",0.21,0.02,0.07,0.04,0.03,0.04,0,1997,"Manchester City","Premier League","BEL","M"
"Rayan Cherki","2022-2023",18,"Dribbler","Direct Dribbler",0.21,0.05,0.06,0.06,0.03,0.02,-0.01,1872,"Lyon","Ligue 1","FRA","M"
"Sergio Agüero","2019-2020",31,"Finisher","Progressive Forward",0.21,0.05,0.14,0.01,0.01,0.01,-0.01,1452,"Manchester City","Premier League","ARG","M"
"Alexis Sánchez","2017-2018",28,"Dribbler","Direct Dribbler",0.21,0.04,0.11,0.05,-0.01,0.02,-0.02,1503,"Arsenal","Premier League","CHI","M"
"Arjen Robben","2018-2019",34,"Dribbler","Wide Dribbler",0.21,0.03,0.13,0.04,0.02,0,-0.02,567,"Bayern Munich","Bundesliga","NED","M"
"Sergio Ramos","2021-2022",35,"Central Def","Progressive Central Defender",0.21,0.01,0.07,0,0.01,0.14,-0.01,801,"Paris S-G","Ligue 1","ESP","M"
"Vitinha","2022-2023",22,"Finisher","Progressive Forward",0.21,0.05,0.16,-0.01,-0.01,0,0.02,464,"Marseille","Ligue 1","POR","M"
"Cristiano Ronaldo","2019-2020",34,"Finisher","Mobile Forward",0.2,0.02,0.12,0.02,0.04,0.01,0,2917,"Juventus","Serie A M","POR","M"
"Vinicius Júnior","2021-2022",21,"Dribbler","Direct Dribbler",0.2,0.05,0.1,0.02,0.04,0,0,2690,"Real Madrid","La Liga","BRA","M"
"Gabriel Jesus","2017-2018",20,"Finisher","Progressive Forward",0.2,0.04,0.15,0.01,0,0.01,0,1668,"Manchester City","Premier League","BRA","M"
"Toni Kroos","2020-2021",30,"Deep Midfielder","Playmaking Deep Midfielder",0.2,0.01,0.03,0.05,0.01,0.13,-0.02,2117,"Real Madrid","La Liga","GER","M"
"Joshua Kimmich","2020-2021",25,"Deep Midfielder","Playmaking Deep Midfielder",0.2,0.01,0.03,0.06,0.02,0.1,-0.01,2194,"Bayern Munich","Bundesliga","GER","M"
"Serge Gnabry","2018-2019",23,"Dribbler","Direct Dribbler",0.2,0.05,0.09,0.05,0.02,0,0,1762,"Bayern Munich","Bundesliga","GER","M"
"Rayan Cherki","2023-2024",19,"Creator","Central Creator",0.2,0.05,0.05,0.04,0.03,0.01,-0.01,1719,"Lyon","Ligue 1","FRA","M"
"Ángel Di María","2020-2021",32,"Creator","Wide Creator",0.2,0.03,0.05,0.09,0.02,0.02,0,1853,"Paris S-G","Ligue 1","ARG","M"
"Neymar","2022-2023",30,"Creator","Central Creator",0.2,0.02,0.06,0.06,0,0.06,-0.01,1545,"Paris S-G","Ligue 1","BRA","M"
"Raphinha","2023-2024",26,"Dribbler","Wide Dribbler",0.2,0.02,0.1,0.05,0.01,0.02,0,1368,"Barcelona","La Liga","BRA","M"
"Mauro Icardi","2019-2020",26,"Finisher","Target Forward",0.2,0.01,0.15,0.02,0,0.02,-0.01,1267,"Paris S-G","Ligue 1","ARG","M"
"Luis Muriel","2019-2020",28,"Dribbler","Direct Dribbler",0.2,0.06,0.14,0.02,0,-0.01,-0.01,1260,"Atalanta","Serie A M","COL","M"
"Thiago Alcántara","2017-2018",26,"Midfielder","Creative Midfielder",0.2,0.01,0.04,0.01,0.01,0.15,0,1247,"Bayern Munich","Bundesliga","ESP","M"
"Davide Frattesi","2023-2024",23,"Dribbler","Direct Dribbler",0.2,0.02,0.14,0.02,-0.01,0.01,0.01,955,"Inter","Serie A M","ITA","M"
"Karl Toko Ekambi","2019-2020",26,"Finisher","Mobile Forward",0.2,0.02,0.16,0.01,0.02,0,-0.01,993,"Villarreal","La Liga","CMR","M"
"Musa Barrow","2017-2018",18,"Finisher","Mobile Forward",0.2,0.05,0.09,0.04,0.01,0,0,443,"Atalanta","Serie A M","GAM","M"
"Gareth Bale","2020-2021",31,"Dribbler","Wide Dribbler",0.2,0.01,0.16,0,0.01,0.01,0.02,920,"Tottenham","Premier League","WAL","M"
"Corentin Tolisso","2019-2020",24,"Midfielder","Creative Midfielder",0.2,0.03,0.04,0.05,0,0.11,-0.02,638,"Bayern Munich","Bundesliga","FRA","M"
"Takefusa Kubo","2020-2021",19,"Dribbler","Direct Dribbler",0.2,0.03,0.12,0.03,0.03,0.01,-0.01,299,"Villarreal","La Liga","JPN","M"
"Nemanja Radonjić","2023-2024",27,"Dribbler","Wide Dribbler",0.2,0.01,0.09,0.01,0.07,0.02,0,353,"Mallorca","La Liga","SRB","M"
"Giovani Lo Celso","2023-2024",27,"Midfielder","Creative Midfielder",0.2,0.02,0.02,0.05,0.03,0.08,0,506,"Tottenham","Premier League","ARG","M"
"Dominik Kohr","2020-2021",26,"Midfielder","Ball Winning Midfielder",0.2,0.01,0.07,-0.02,0.02,0.06,0.05,260,"Eint Frankfurt","Bundesliga","GER","M"
"Eric Maxim Choupo-Moting","2021-2022",32,"Dribbler","Direct Dribbler",0.2,0.05,0.11,0.01,0.01,0,0.03,377,"Bayern Munich","Bundesliga","CMR","M"
"Carlos Vela","2017-2018",28,"Creator","Central Creator",0.2,0.04,0.11,-0.01,0.05,0.02,0,382,"Real Sociedad","La Liga","MEX","M"
"Mohamed Salah","2018-2019",26,"Dribbler","Direct Dribbler",0.19,0.05,0.13,0.03,0,0,-0.02,3250,"Liverpool","Premier League","EGY","M"
"Cristiano Ronaldo","2018-2019",33,"Dribbler","Direct Dribbler",0.19,0.03,0.16,-0.01,0.01,0,0,2688,"Juventus","Serie A M","POR","M"
"Eden Hazard","2018-2019",27,"Dribbler","Wide Dribbler",0.19,0.04,0.03,0.04,0.07,0.03,-0.01,2923,"Chelsea","Premier League","BEL","M"
"Kevin De Bruyne","2019-2020",28,"Creator","Wide Creator",0.19,0.03,0.04,0.09,0.02,0.02,-0.01,2791,"Manchester City","Premier League","BEL","M"
"Mohamed Salah","2023-2024",31,"Finisher","Progressive Forward",0.19,0.04,0.08,0.05,0.01,0.02,-0.01,2534,"Liverpool","Premier League","EGY","M"
"Josip Iličić","2018-2019",30,"Dribbler","Direct Dribbler",0.19,0.03,0.08,0.03,0.02,0.03,-0.01,2145,"Atalanta","Serie A M","SVN","M"
"Edinson Cavani","2017-2018",30,"Finisher","Progressive Forward",0.19,0.03,0.13,0.02,0.01,0.01,0,2581,"Paris S-G","Ligue 1","URU","M"
"Gabriel Jesus","2019-2020",22,"Finisher","Mobile Forward",0.19,0.03,0.14,0.01,0.02,0,0,2030,"Manchester City","Premier League","BRA","M"
"Cesc Fàbregas","2017-2018",30,"Midfielder","Creative Midfielder",0.19,0.02,0.02,0.04,0.01,0.11,0.01,2307,"Chelsea","Premier League","ESP","M"
"Toni Kroos","2021-2022",31,"Deep Midfielder","Playmaking Deep Midfielder",0.19,0,0.04,0.02,0,0.15,-0.02,2103,"Real Madrid","La Liga","GER","M"
"Victor Boniface","2023-2024",22,"Finisher","Mobile Forward",0.19,0.04,0.12,0.02,0.02,0,0,1546,"Leverkusen","Bundesliga","NGA","M"
"David Silva","2019-2020",33,"Creator","Two Way Creator",0.19,0.08,0.07,0.04,0.01,0,-0.01,1826,"Manchester City","Premier League","ESP","M"
"Raphinha","2022-2023",25,"Dribbler","Wide Dribbler",0.19,0.02,0.09,0.07,0.01,-0.01,0,2072,"Barcelona","La Liga","BRA","M"
"Darwin Núñez","2022-2023",23,"Finisher","Mobile Forward",0.19,0.03,0.13,0.02,0.01,0,0,1695,"Liverpool","Premier League","URU","M"
"Pierre-Emerick Aubameyang","2017-2018",28,"Finisher","Mobile Forward",0.19,0.02,0.16,0.02,0.01,0,-0.01,1416,"Dortmund","Bundesliga","GAB","M"
"Arnaut Danjuma","2021-2022",24,"Finisher","Mobile Forward",0.19,0.04,0.12,0.01,0.03,-0.01,-0.01,1472,"Villarreal","La Liga","NED","M"
"Arturo Vidal","2017-2018",30,"Midfielder","Ball Winning Midfielder",0.19,0.03,0.09,0.02,0,0.05,0.02,1456,"Bayern Munich","Bundesliga","CHI","M"
"Luka Jović","2017-2018",19,"Finisher","Progressive Forward",0.19,0.02,0.18,0.02,0,0,-0.01,936,"Eint Frankfurt","Bundesliga","SRB","M"
"Erling Haaland","2019-2020",19,"Finisher","Mobile Forward",0.19,0.02,0.16,0.01,0,0,0,1063,"Dortmund","Bundesliga","NOR","M"
"Bamba Dieng","2021-2022",21,"Finisher","Mobile Forward",0.19,0.03,0.13,0.02,0.01,0,0.01,975,"Marseille","Ligue 1","SEN","M"
"Zlatan Ibrahimović","2021-2022",39,"Finisher","Progressive Forward",0.19,0.04,0.11,0.02,0,0.02,0,1016,"Milan","Serie A M","SWE","M"
"Arkadiusz Milik","2017-2018",23,"Finisher","Target Forward",0.19,0.01,0.24,0.01,-0.02,0,-0.01,448,"Napoli","Serie A M","POL","M"
"Corentin Tolisso","2021-2022",26,"Midfielder","Creative Midfielder",0.19,0.01,0.04,0.04,0,0.12,-0.01,703,"Bayern Munich","Bundesliga","FRA","M"
"Paulinho","2019-2020",19,"Dribbler","Direct Dribbler",0.19,-0.01,0.09,0.05,0.04,0.03,-0.01,304,"Leverkusen","Bundesliga","BRA","M"
"Petar Škuletić","2018-2019",28,"Finisher","Target Forward",0.19,0.03,0.12,0.02,0,0.01,0.02,603,"Montpellier","Ligue 1","SRB","M"
"Joshua Zirkzee","2019-2020",18,"Finisher","Progressive Forward",0.19,0.03,0.17,0.01,-0.02,0,0,297,"Bayern Munich","Bundesliga","NED","M"
"Borja Mayoral","2017-2018",20,"Finisher","Progressive Forward",0.19,0.02,0.19,-0.01,0.01,0,-0.01,345,"Real Madrid","La Liga","ESP","M"
"Serge Gnabry","2023-2024",28,"Dribbler","Direct Dribbler",0.19,0.04,0.08,0.04,0.03,0,0.01,432,"Bayern Munich","Bundesliga","GER","M"
"Adam Ounas","2021-2022",24,"Creator","Central Creator",0.19,0.03,0.05,0.01,0.09,0.02,0,326,"Napoli","Serie A M","ALG","M"
"Luis Suárez","2018-2019",31,"Finisher","Mobile Forward",0.18,0.04,0.11,0.03,0,0,0,2827,"Barcelona","La Liga","URU","M"
"Papu Gómez","2018-2019",30,"Creator","Wide Creator",0.18,0.01,0.06,0.06,0.04,0,-0.02,2899,"Atalanta","Serie A M","ARG","M"
"Jude Bellingham","2023-2024",20,"Creator","Two Way Creator",0.18,0.03,0.09,0.02,0.01,0.03,0,2315,"Real Madrid","La Liga","ENG","M"
"Erling Haaland","2020-2021",20,"Finisher","Mobile Forward",0.18,0.02,0.14,0.01,0.01,0.01,-0.01,2407,"Dortmund","Bundesliga","NOR","M"
"Trent Alexander-Arnold","2021-2022",22,"Wide Def","Progressive Wide Defender",0.18,0.02,0.03,0.08,-0.01,0.09,-0.03,2853,"Liverpool","Premier League","ENG","M"
"Rafael Leão","2023-2024",24,"Dribbler","Wide Dribbler",0.18,0.04,0.06,0.04,0.03,0,0,2512,"Milan","Serie A M","POR","M"
"Raheem Sterling","2019-2020",24,"Dribbler","Direct Dribbler",0.18,0.06,0.12,0.02,0.01,-0.02,-0.01,2651,"Manchester City","Premier League","ENG","M"
"Moussa Dembélé","2018-2019",22,"Finisher","Mobile Forward",0.18,0.02,0.14,0.01,0.01,0,-0.01,2016,"Lyon","Ligue 1","FRA","M"
"Serhou Guirassy","2023-2024",27,"Finisher","Progressive Forward",0.18,0.02,0.14,0.02,0,0,0,2208,"Stuttgart","Bundesliga","GUI","M"
"Joshua Kimmich","2021-2022",26,"Deep Midfielder","Playmaking Deep Midfielder",0.18,0,0.01,0.07,0.01,0.1,-0.01,2474,"Bayern Munich","Bundesliga","GER","M"
"Éver Banega","2017-2018",29,"Midfielder","Creative Midfielder",0.18,0,0,0.03,0.03,0.13,0,2399,"Sevilla","La Liga","ARG","M"
"Leroy Sané","2021-2022",25,"Dribbler","Direct Dribbler",0.18,0.02,0.1,0.02,0.01,0.02,0,1976,"Bayern Munich","Bundesliga","GER","M"
"Thomas Müller","2019-2020",29,"Dribbler","Wide Dribbler",0.18,0.04,0.04,0.09,-0.01,0.02,0,2255,"Bayern Munich","Bundesliga","GER","M"
"Jack Grealish","2020-2021",24,"Creator","Central Creator",0.18,0.05,0.02,0.03,0.06,0.03,-0.01,2185,"Aston Villa","Premier League","ENG","M"
"Toni Kroos","2017-2018",27,"Deep Midfielder","Playmaking Deep Midfielder",0.18,0.01,0.04,0.04,0.02,0.09,-0.02,2261,"Real Madrid","La Liga","GER","M"
"Serge Gnabry","2020-2021",25,"Dribbler","Direct Dribbler",0.18,0.04,0.09,0.04,0.01,0,0,1644,"Bayern Munich","Bundesliga","GER","M"
"Serge Gnabry","2022-2023",27,"Dribbler","Direct Dribbler",0.18,0.04,0.1,0.02,0,0.01,0,1941,"Bayern Munich","Bundesliga","GER","M"
"Neymar","2021-2022",29,"Creator","Wide Creator",0.18,0.03,0.08,0.03,0.01,0.02,0,1851,"Paris S-G","Ligue 1","BRA","M"
"Kerem Demirbay","2018-2019",25,"Midfielder","Creative Midfielder",0.18,0,0.05,0.05,0.03,0.05,0,2017,"Hoffenheim","Bundesliga","GER","M"
"Ousmane Dembélé","2021-2022",24,"Dribbler","Wide Dribbler",0.18,0.02,0.01,0.1,0.07,0,0,1409,"Barcelona","La Liga","FRA","M"
"Jeremy Doku","2023-2024",21,"Dribbler","Direct Dribbler",0.18,0.1,-0.01,0.03,0.09,-0.03,0,1595,"Manchester City","Premier League","BEL","M"
"Corentin Tolisso","2017-2018",22,"Midfielder","Creative Midfielder",0.18,0.01,0.05,0.03,0,0.13,-0.02,1575,"Bayern Munich","Bundesliga","FRA","M"
